ticker,exchange,assetType,priceCurrency,startDate,endDate
000001,SHE,Stock,CNY,2007-01-04,2026-03-31
000002,SHE,Stock,CNY,2007-01-04,2026-03-31
000004,SHE,Stock,CNY,2007-08-31,2026-03-31
000006,SHE,Stock,CNY,2007-01-04,2026-03-31
000007,SHE,Stock,CNY,2007-08-31,2026-03-31
000008,SHE,Stock,CNY,2007-01-04,2026-03-31
000009,SHE,Stock,CNY,2007-01-05,2026-03-31
000010,SHE,Stock,CNY,2007-08-31,2026-03-31
000011,SHE,Stock,CNY,2007-01-04,2026-03-31
000012,SHE,Stock,CNY,2007-01-04,2026-03-31
000014,SHE,Stock,CNY,2007-01-04,2026-03-31
000016,SHE,Stock,CNY,2007-01-04,2026-03-31
000017,SHE,Stock,CNY,2010-03-18,2026-03-31
000019,SHE,Stock,CNY,2007-10-12,2026-03-31
000020,SHE,Stock,CNY,2007-08-31,2026-03-31
000021,SHE,Stock,CNY,2007-01-04,2026-03-31
000025,SHE,Stock,CNY,2007-01-04,2026-03-31
000026,SHE,Stock,CNY,2007-01-04,2026-03-31
000027,SHE,Stock,CNY,2007-01-04,2026-03-31
000028,SHE,Stock,CNY,2007-01-04,2026-03-31
000029,SHE,Stock,CNY,2007-08-31,2026-03-31
000030,SHE,Stock,CNY,2007-01-04,2026-03-31
000031,SHE,Stock,CNY,2007-08-31,2026-03-31
000032,SHE,Stock,CNY,2007-01-04,2026-03-31
000034,SHE,Stock,CNY,2007-08-31,2026-03-31
000035,SHE,Stock,CNY,2007-09-28,2026-03-31
000036,SHE,Stock,CNY,2007-01-04,2026-03-31
000037,SHE,Stock,CNY,2007-01-04,2026-03-31
000039,SHE,Stock,CNY,2007-01-04,2026-03-31
000042,SHE,Stock,CNY,2007-01-04,2026-03-31
000045,SHE,Stock,CNY,2007-08-31,2026-03-31
000048,SHE,Stock,CNY,2007-01-04,2026-03-31
000049,SHE,Stock,CNY,2007-01-04,2026-03-31
000050,SHE,Stock,CNY,2007-01-04,2026-03-31
000055,SHE,Stock,CNY,2007-01-04,2026-03-31
